topic,topic_desc,topic_desc_basic,knowledge_class,knowledge_class_basic,aliases,tags
AI Core,,"They can be found in ancient ruins, labs, and domes scattered across the world. The Holy Nation considers them illegal contraband, and some skeletons carry them as vital components that keep them alive.",,,"AI Core, AI_Core",Items
A Holy Purpose,,"A Holy Purpose is an Okranite theological text that argues a person's true purpose is to fulfill Okran's will. It describes a future vision where the Holy Nation's lands become the Enlightened lands, where Okran's children will live eternally free from Narko's influence and the cycle of rebirth. The book is commonly found in Holy Nation temples and sold by their vendors.",,,"A Holy Purpose, A_Holy_Purpose",Books
Acid Ground,,"Acid ground exists in heavily polluted zones where the soil has become corrosive. It harms the feet of humans and Shek who walk on it barefoot, but Hivers and Skeletons are naturally immune to acid. Any footwear protects against this hazard.",,,"Acid Ground, Acid_Ground",World Data
Admag,,"Admag is the capital of the Shek Kingdom, built on a hilltop in the Stenn Desert with only one entrance. It is home to Esata the Stone Golem, the kingdom's leader, who resides in the faction headquarters alongside her advisors Bayan and Seto. The town is defended by the elite Hundred Guardians and the Five Invincibles, and most of the Shek population lives here.",,,Admag,"Locations, Shek Kingdom"
Ancient Locations,,Ancient Locations are ruins from the civilization that existed before the current era. Tech Hunters actively search these places hoping to recover lost technologies from the old world. Machinists have written various theories about who originally built these ancient sites.,,,"Ancient Locations, Ancient_Locations",Locations
Ancient Ruins,,"Ancient Ruins are scattered remnants of the old world, filled with dangerous spiders and ancient security machines still guarding their crumbling halls. Most people avoid these ruins unless they're desperate or brave enough to face the mechanical guardians within.",,,"Ancient Ruins, Ancient_Ruins",Factions
Ancient Science Book,,"Ancient Science Books are valuable artifacts from before the Second Empire that contain knowledge of advanced lost technologies. They formed the foundation of the Second Empire's scientific achievements and are now studied by the Machinists who seek to understand the remnants of both ancient empires. These books are scattered across dangerous ruins throughout the world, and the Holy Nation considers them illegal contraband.",,,"Ancient Science Book, Ancient_Science_Book",Items
Anti-Slavers,,"The Anti-Slavers are a faction led by the legendary Tinfist that opposes slavery and operates from their mountain base called Spring in Stobe's Gamble. They are known for freeing slaves and attacking slavers, which has made them enemies of the United Cities, Holy Nation, and Traders Guild. The faction includes fighters of all races, many of whom are skilled in martial arts rather than weapons, and they are viewed as dangerous terrorists by established governments but admired by some drifters.",,,"Anti-Slavers, AntiSlavers",Factions
Arach,,"Arach is a deadly region home to the Bugmaster, a mysterious figure from whom few travelers return. The area is infested with roaming packs of Skin Spiders, making it one of the most dangerous places in the world. It has no settlements and lies near Watcher's Rim, Spider Plains, and Shun.",,,Arach,Zones
Arc,,"Arc is a legendary swordsman and the leader of Mongrel. He is renowned for his skill with the sabre, though little is known about his past or why he leads the people of Mongrel. He can be found at the headquarters in Mongrel.",,,Arc,"Bosses, Characters, Mongrel, Unique"
Ark,,"Ark is the headquarters of the Reavers, located in the northern part of Stobe's Garden. It serves as the home base for their leader Valamon and the center of Reaver operations in the region.",,,Ark,"Locations, Reavers"
